SessionTime,Lap,LapDistPct,GapToAhead
0.0,1,0.0,1.2
0.2,1,0.0022,1.214
0.4,1,0.0044,1.228
0.6,1,0.0067,1.242
0.8,1,0.0089,1.255
1.0,1,0.0111,1.269
1.2,1,0.0133,1.282
1.4,1,0.0156,1.295
1.6,1,0.0178,1.308
1.8,1,0.02,1.32
2.0,1,0.0222,1.332
2.2,1,0.0244,1.344
2.4,1,0.0267,1.355
2.6,1,0.0289,1.366
2.8,1,0.0311,1.376
3.0,1,0.0333,1.386
3.2,1,0.0356,1.395
3.4,1,0.0378,1.403
3.6,1,0.04,1.411
3.8,1,0.0422,1.418
4.0,1,0.0444,1.425
4.2,1,0.0467,1.43
4.4,1,0.0489,1.436
4.6,1,0.0511,1.44
4.8,1,0.0533,1.443
5.0,1,0.0556,1.446
5.2,1,0.0578,1.448
5.4,1,0.06,1.45
5.6,1,0.0622,1.45
5.8,1,0.0644,1.45
6.0,1,0.0667,1.449
6.2,1,0.0689,1.447
6.4,1,0.0711,1.444
6.6,1,0.0733,1.441
6.8,1,0.0756,1.437
7.0,1,0.0778,1.432
7.2,1,0.08,1.426
7.4,1,0.0822,1.42
7.6,1,0.0844,1.413
7.8,1,0.0867,1.405
8.0,1,0.0889,1.397
8.2,1,0.0911,1.388
8.4,1,0.0933,1.379
8.6,1,0.0956,1.369
8.8,1,0.0978,1.358
9.0,1,0.1,1.347
9.2,1,0.1022,1.335
9.4,1,0.1044,1.323
9.6,1,0.1067,1.311
9.8,1,0.1089,1.298
10.0,1,0.1111,1.286
10.2,1,0.1133,1.272
10.4,1,0.1156,1.259
10.6,1,0.1178,1.245
10.8,1,0.12,1.231
11.0,1,0.1222,1.217
11.2,1,0.1244,1.203
11.4,1,0.1267,1.19
11.6,1,0.1289,1.176
11.8,1,0.1311,1.162
12.0,1,0.1333,1.148
12.2,1,0.1356,1.134
12.4,1,0.1378,1.121
12.6,1,0.14,1.108
12.8,1,0.1422,1.095
13.0,1,0.1444,1.083
13.2,1,0.1467,1.07
13.4,1,0.1489,1.059
13.6,1,0.1511,1.047
13.8,1,0.1533,1.037
14.0,1,0.1556,1.026
14.2,1,0.1578,1.017
14.4,1,0.16,1.007
14.6,1,0.1622,0.999
14.8,1,0.1644,0.991
15.0,1,0.1667,0.983
15.2,1,0.1689,0.977
15.4,1,0.1711,0.971
15.6,1,0.1733,0.966
15.8,1,0.1756,0.961
16.0,1,0.1778,0.957
